fixture_id,pair_id,slot0_agent_id,slot1_agent_id,seed,episodes,slot0_wins,slot1_wins,draws,slot0_win_rate,slot1_win_rate,draw_rate,slot0_avg_reward,slot1_avg_reward,avg_reward_margin_slot0,avg_episode_length,video_path
sp_fixed__vs__tp_mixed_a0_morph__leg0,sp_fixed__vs__tp_mixed_a0_morph,sp_fixed,tp_mixed_a0_morph,911,50,11,4,35,0.22,0.08,0.7,1722.706354839507,-1262.0015074479002,2984.707862287408,441.42,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_mixed_a0_morph__slot0_sp_fixed__slot1_tp_mixed_a0_morph__seed911.mp4
sp_fixed__vs__tp_mixed_a0_morph__leg1,sp_fixed__vs__tp_mixed_a0_morph,tp_mixed_a0_morph,sp_fixed,912,50,34,4,12,0.68,0.08,0.24,2577.018851034243,-1590.9475490946904,4167.966400128934,278.64,
sp_fixed__vs__tp_mixed_a1_fixed__leg0,sp_fixed__vs__tp_mixed_a1_fixed,sp_fixed,tp_mixed_a1_fixed,913,50,6,5,39,0.12,0.1,0.78,111.44818182998486,-557.495338167893,668.9435199978781,464.74,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_mixed_a1_fixed__slot0_sp_fixed__slot1_tp_mixed_a1_fixed__seed913.mp4
sp_fixed__vs__tp_mixed_a1_fixed__leg1,sp_fixed__vs__tp_mixed_a1_fixed,tp_mixed_a1_fixed,sp_fixed,914,50,9,7,34,0.18,0.14,0.68,-115.2825187137835,-456.8214251243067,341.53890641052317,416.82,
tp_fixed_a0__vs__tp_fixed_a1__leg0,tp_fixed_a0__vs__tp_fixed_a1,tp_fixed_a0,tp_fixed_a1,915,50,41,6,3,0.82,0.12,0.06,2630.8419191056414,-1162.2247033918002,3793.0666224974416,257.78,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/tp_fixed_a0__vs__tp_fixed_a1__slot0_tp_fixed_a0__slot1_tp_fixed_a1__seed915.mp4
tp_fixed_a0__vs__tp_fixed_a1__leg1,tp_fixed_a0__vs__tp_fixed_a1,tp_fixed_a1,tp_fixed_a0,916,50,13,26,11,0.26,0.52,0.22,-238.76159819841956,790.2542296102077,-1029.0158278086274,311.88,
tp_fixed_a0__vs__sp_morph__leg0,tp_fixed_a0__vs__sp_morph,tp_fixed_a0,sp_morph,917,50,19,18,13,0.38,0.36,0.26,1381.624510780228,-199.26601979059606,1580.890530570824,338.12,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/tp_fixed_a0__vs__sp_morph__slot0_tp_fixed_a0__slot1_sp_morph__seed917.mp4
tp_fixed_a0__vs__sp_morph__leg1,tp_fixed_a0__vs__sp_morph,sp_morph,tp_fixed_a0,918,50,42,2,6,0.84,0.04,0.12,3219.2284221682694,-1760.1484833802401,4979.37690554851,239.52,
tp_fixed_a0__vs__tp_morph_a0__leg0,tp_fixed_a0__vs__tp_morph_a0,tp_fixed_a0,tp_morph_a0,919,50,19,8,23,0.38,0.16,0.46,1816.9936220107784,-1095.162642272406,2912.1562642831846,371.5,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a0__slot0_tp_fixed_a0__slot1_tp_morph_a0__seed919.mp4
tp_fixed_a0__vs__tp_morph_a0__leg1,tp_fixed_a0__vs__tp_morph_a0,tp_morph_a0,tp_fixed_a0,920,50,35,7,8,0.7,0.14,0.16,2740.4823122008797,-1390.2624429279783,4130.744755128858,269.6,
tp_fixed_a0__vs__tp_morph_a1__leg0,tp_fixed_a0__vs__tp_morph_a1,tp_fixed_a0,tp_morph_a1,921,50,4,27,19,0.08,0.54,0.38,-485.346227085495,1124.4174815882336,-1609.7637086737284,344.38,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a1__slot0_tp_fixed_a0__slot1_tp_morph_a1__seed921.mp4
