pair_id,agent_a_id,agent_b_id,episodes,agent_a_wins,agent_b_wins,draws,agent_a_losses,agent_b_losses,agent_a_points,agent_b_points,agent_a_win_rate,agent_b_win_rate,draw_rate,agent_a_avg_reward,agent_b_avg_reward,agent_a_avg_reward_margin,avg_episode_length,fixture_ids,video_paths
sp_morph__vs__tp_mixed_a1_fixed,sp_morph,tp_mixed_a1_fixed,100,29,19,52,19,29,168.0,128.0,0.29,0.19,0.52,692.484238054933,-277.5387936202772,970.02303167521,394.71,sp_morph__vs__tp_mixed_a1_fixed__leg0|sp_morph__vs__tp_mixed_a1_fixed__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_mixed_a1_fixed__slot0_sp_morph__slot1_tp_mixed_a1_fixed__seed955.mp4
sp_morph__vs__tp_morph_a0,sp_morph,tp_morph_a0,100,27,43,30,43,27,138.0,202.0,0.27,0.43,0.3,387.8975303101932,863.6154588043738,-475.7179284941807,333.39,sp_morph__vs__tp_morph_a0__leg0|sp_morph__vs__tp_morph_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_morph_a0__slot0_sp_morph__slot1_tp_morph_a0__seed949.mp4
sp_morph__vs__tp_morph_a1,sp_morph,tp_morph_a1,100,23,24,53,24,23,145.0,149.0,0.23,0.24,0.53,256.7230038000843,-147.61042924486839,404.33343304495276,390.92,sp_morph__vs__tp_morph_a1__leg0|sp_morph__vs__tp_morph_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_morph_a1__slot0_sp_morph__slot1_tp_morph_a1__seed951.mp4
sp_morph__vs__tp_morph_delay200_a0,sp_morph,tp_morph_delay200_a0,100,61,25,14,25,61,258.0,114.0,0.61,0.25,0.14,1407.3217565280481,-37.87157147772852,1445.193328005777,266.82,sp_morph__vs__tp_morph_delay200_a0__leg0|sp_morph__vs__tp_morph_delay200_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_morph_delay200_a0__slot0_sp_morph__slot1_tp_morph_delay200_a0__seed957.mp4
sp_morph__vs__tp_morph_delay200_a1,sp_morph,tp_morph_delay200_a1,100,56,20,24,20,56,248.0,104.0,0.56,0.2,0.24,1481.9190527450826,-476.2781778453455,1958.197230590428,318.66,sp_morph__vs__tp_morph_delay200_a1__leg0|sp_morph__vs__tp_morph_delay200_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_morph_delay200_a1__slot0_sp_morph__slot1_tp_morph_delay200_a1__seed959.mp4
tp_fixed_a0__vs__sp_morph,tp_fixed_a0,sp_morph,100,32,47,21,47,32,149.0,209.0,0.32,0.47,0.21,211.5209830680231,940.9923250585155,-729.4713419904922,320.46,tp_fixed_a0__vs__sp_morph__leg0|tp_fixed_a0__vs__sp_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__sp_morph__slot0_tp_fixed_a0__slot1_sp_morph__seed921.mp4
tp_fixed_a0__vs__tp_fixed_a1,tp_fixed_a0,tp_fixed_a1,100,70,13,17,13,70,297.0,69.0,0.7,0.13,0.17,1650.667879767881,-868.1684745646982,2518.8363543325786,272.55,tp_fixed_a0__vs__tp_fixed_a1__leg0|tp_fixed_a0__vs__tp_fixed_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_fixed_a1__slot0_tp_fixed_a0__slot1_tp_fixed_a1__seed919.mp4
tp_fixed_a0__vs__tp_mixed_a0_morph,tp_fixed_a0,tp_mixed_a0_morph,100,16,53,31,53,16,95.0,243.0,0.16,0.53,0.31,-258.7261800941809,1097.691265630838,-1356.4174457250192,326.9,tp_fixed_a0__vs__tp_mixed_a0_morph__leg0|tp_fixed_a0__vs__tp_mixed_a0_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_mixed_a0_morph__slot0_tp_fixed_a0__slot1_tp_mixed_a0_morph__seed927.mp4
tp_fixed_a0__vs__tp_mixed_a1_fixed,tp_fixed_a0,tp_mixed_a1_fixed,100,13,30,57,30,13,109.0,177.0,0.13,0.3,0.57,-398.6381461456845,141.1135221056717,-539.7516682513564,383.69,tp_fixed_a0__vs__tp_mixed_a1_fixed__leg0|tp_fixed_a0__vs__tp_mixed_a1_fixed__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_mixed_a1_fixed__slot0_tp_fixed_a0__slot1_tp_mixed_a1_fixed__seed929.mp4
tp_fixed_a0__vs__tp_morph_a0,tp_fixed_a0,tp_morph_a0,100,21,44,35,44,21,119.0,211.0,0.21,0.44,0.35,-2.2296202730288632,972.4276370017836,-974.6572572748124,326.42,tp_fixed_a0__vs__tp_morph_a0__leg0|tp_fixed_a0__vs__tp_morph_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a0__slot0_tp_fixed_a0__slot1_tp_morph_a0__seed923.mp4
tp_fixed_a0__vs__tp_morph_a1,tp_fixed_a0,tp_morph_a1,100,12,40,48,40,12,96.0,208.0,0.12,0.4,0.48,-402.257639141116,545.3132204807816,-947.5708596218974,347.98,tp_fixed_a0__vs__tp_morph_a1__leg0|tp_fixed_a0__vs__tp_morph_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a1__slot0_tp_fixed_a0__slot1_tp_morph_a1__seed925.mp4
tp_fixed_a0__vs__tp_morph_delay200_a0,tp_fixed_a0,tp_morph_delay200_a0,100,60,24,16,24,60,256.0,112.0,0.6,0.24,0.16,1334.008906443098,-230.5682977185733,1564.5772041616717,261.33,tp_fixed_a0__vs__tp_morph_delay200_a0__leg0|tp_fixed_a0__vs__tp_morph_delay200_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_delay200_a0__slot0_tp_fixed_a0__slot1_tp_morph_delay200_a0__seed931.mp4
tp_fixed_a0__vs__tp_morph_delay200_a1,tp_fixed_a0,tp_morph_delay200_a1,100,53,26,21,26,53,233.0,125.0,0.53,0.26,0.21,1038.178945965759,-212.04664433741164,1250.225590303171,285.21,tp_fixed_a0__vs__tp_morph_delay200_a1__leg0|tp_fixed_a0__vs__tp_morph_delay200_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_delay200_a1__slot0_tp_fixed_a0__slot1_tp_morph_delay200_a1__seed933.mp4
tp_fixed_a1__vs__sp_morph,tp_fixed_a1,sp_morph,100,13,74,13,74,13,65.0,309.0,0.13,0.74,0.13,-822.072901405746,2024.8207959224153,-2846.8936973281607,268.64,tp_fixed_a1__vs__sp_morph__leg0|tp_fixed_a1__vs__sp_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a1__vs__sp_morph__slot0_tp_fixed_a1__slot1_sp_morph__seed935.mp4
tp_fixed_a1__vs__tp_mixed_a0_morph,tp_fixed_a1,tp_mixed_a0_morph,100,5,73,22,73,5,42.0,314.0,0.05,0.73,0.22,-1244.1221318733528,1877.6331944368198,-3121.755326310172,292.67,tp_fixed_a1__vs__tp_mixed_a0_morph__leg0|tp_fixed_a1__vs__tp_mixed_a0_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a1__vs__tp_mixed_a0_morph__slot0_tp_fixed_a1__slot1_tp_mixed_a0_morph__seed941.mp4
tp_fixed_a1__vs__tp_mixed_a1_fixed,tp_fixed_a1,tp_mixed_a1_fixed,100,10,68,22,68,10,62.0,294.0,0.1,0.68,0.22,-983.2765762110907,1757.5778571591834,-2740.8544333702744,296.42,tp_fixed_a1__vs__tp_mixed_a1_fixed__leg0|tp_fixed_a1__vs__tp_mixed_a1_fixed__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a1__vs__tp_mixed_a1_fixed__slot0_tp_fixed_a1__slot1_tp_mixed_a1_fixed__seed943.mp4
tp_fixed_a1__vs__tp_morph_a0,tp_fixed_a1,tp_morph_a0,100,8,77,15,77,8,47.0,323.0,0.08,0.77,0.15,-1188.9205997585282,1974.2103217066337,-3163.1309214651624,247.62,tp_fixed_a1__vs__tp_morph_a0__leg0|tp_fixed_a1__vs__tp_morph_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a1__vs__tp_morph_a0__slot0_tp_fixed_a1__slot1_tp_morph_a0__seed937.mp4
tp_fixed_a1__vs__tp_morph_a1,tp_fixed_a1,tp_morph_a1,100,8,74,18,74,8,50.0,314.0,0.08,0.74,0.18,-911.8118733974661,1691.6388125745952,-2603.4506859720614,291.58,tp_fixed_a1__vs__tp_morph_a1__leg0|tp_fixed_a1__vs__tp_morph_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a1__vs__tp_morph_a1__slot0_tp_fixed_a1__slot1_tp_morph_a1__seed939.mp4
